number,block_timestamp,previous_block_timestamp,block_time_seconds
20995893,2024-10-19 00:00:11.000000 UTC,,
20995894,2024-10-19 00:00:23.000000 UTC,2024-10-19 00:00:11.000000 UTC,12
20995895,2024-10-19 00:00:35.000000 UTC,2024-10-19 00:00:23.000000 UTC,12
20995896,2024-10-19 00:00:47.000000 UTC,2024-10-19 00:00:35.000000 UTC,12
20995897,2024-10-19 00:00:59.000000 UTC,2024-10-19 00:00:47.000000 UTC,12
20995898,2024-10-19 00:01:11.000000 UTC,2024-10-19 00:00:59.000000 UTC,12
20995899,2024-10-19 00:01:23.000000 UTC,2024-10-19 00:01:11.000000 UTC,12
20995900,2024-10-19 00:01:35.000000 UTC,2024-10-19 00:01:23.000000 UTC,12
20995901,2024-10-19 00:01:47.000000 UTC,2024-10-19 00:01:35.000000 UTC,12
20995902,2024-10-19 00:01:59.000000 UTC,2024-10-19 00:01:47.000000 UTC,12
20995903,2024-10-19 00:02:11.000000 UTC,2024-10-19 00:01:59.000000 UTC,12
20995904,2024-10-19 00:02:23.000000 UTC,2024-10-19 00:02:11.000000 UTC,12
20995905,2024-10-19 00:02:35.000000 UTC,2024-10-19 00:02:23.000000 UTC,12
20995906,2024-10-19 00:02:47.000000 UTC,2024-10-19 00:02:35.000000 UTC,12
20995907,2024-10-19 00:02:59.000000 UTC,2024-10-19 00:02:47.000000 UTC,12
20995908,2024-10-19 00:03:11.000000 UTC,2024-10-19 00:02:59.000000 UTC,12
20995909,2024-10-19 00:03:23.000000 UTC,2024-10-19 00:03:11.000000 UTC,12
20995910,2024-10-19 00:03:35.000000 UTC,2024-10-19 00:03:23.000000 UTC,12
20995911,2024-10-19 00:03:47.000000 UTC,2024-10-19 00:03:35.000000 UTC,12
20995912,2024-10-19 00:03:59.000000 UTC,2024-10-19 00:03:47.000000 UTC,12
20995913,2024-10-19 00:04:11.000000 UTC,2024-10-19 00:03:59.000000 UTC,12
20995914,2024-10-19 00:04:23.000000 UTC,2024-10-19 00:04:11.000000 UTC,12
20995915,2024-10-19 00:04:35.000000 UTC,2024-10-19 00:04:23.000000 UTC,12
20995916,2024-10-19 00:04:47.000000 UTC,2024-10-19 00:04:35.000000 UTC,12
20995917,2024-10-19 00:04:59.000000 UTC,2024-10-19 00:04:47.000000 UTC,12
20995918,2024-10-19 00:05:11.000000 UTC,2024-10-19 00:04:59.000000 UTC,12
20995919,2024-10-19 00:05:23.000000 UTC,2024-10-19 00:05:11.000000 UTC,12
20995920,2024-10-19 00:05:35.000000 UTC,2024-10-19 00:05:23.000000 UTC,12
20995921,2024-10-19 00:05:47.000000 UTC,2024-10-19 00:05:35.000000 UTC,12
20995922,2024-10-19 00:05:59.000000 UTC,2024-10-19 00:05:47.000000 UTC,12
20995923,2024-10-19 00:06:11.000000 UTC,2024-10-19 00:05:59.000000 UTC,12
20995924,2024-10-19 00:06:23.000000 UTC,2024-10-19 00:06:11.000000 UTC,12
20995925,2024-10-19 00:06:35.000000 UTC,2024-10-19 00:06:23.000000 UTC,12
20995926,2024-10-19 00:06:47.000000 UTC,2024-10-19 00:06:35.000000 UTC,12
20995927,2024-10-19 00:06:59.000000 UTC,2024-10-19 00:06:47.000000 UTC,12
20995928,2024-10-19 00:07:11.000000 UTC,2024-10-19 00:06:59.000000 UTC,12
20995929,2024-10-19 00:07:23.000000 UTC,2024-10-19 00:07:11.000000 UTC,12
20995930,2024-10-19 00:07:35.000000 UTC,2024-10-19 00:07:23.000000 UTC,12
20995931,2024-10-19 00:07:47.000000 UTC,2024-10-19 00:07:35.000000 UTC,12
20995932,2024-10-19 00:07:59.000000 UTC,2024-10-19 00:07:47.000000 UTC,12
20995933,2024-10-19 00:08:11.000000 UTC,2024-10-19 00:07:59.000000 UTC,12
20995934,2024-10-19 00:08:23.000000 UTC,2024-10-19 00:08:11.000000 UTC,12
20995935,2024-10-19 00:08:35.000000 UTC,2024-10-19 00:08:23.000000 UTC,12
20995936,2024-10-19 00:08:59.000000 UTC,2024-10-19 00:08:35.000000 UTC,24
20995937,2024-10-19 00:09:11.000000 UTC,2024-10-19 00:08:59.000000 UTC,12
20995938,2024-10-19 00:09:23.000000 UTC,2024-10-19 00:09:11.000000 UTC,12
20995939,2024-10-19 00:09:35.000000 UTC,2024-10-19 00:09:23.000000 UTC,12
20995940,2024-10-19 00:09:47.000000 UTC,2024-10-19 00:09:35.000000 UTC,12
20995941,2024-10-19 00:09:59.000000 UTC,2024-10-19 00:09:47.000000 UTC,12
20995942,2024-10-19 00:10:11.000000 UTC,2024-10-19 00:09:59.000000 UTC,12
20995943,2024-10-19 00:10:23.000000 UTC,2024-10-19 00:10:11.000000 UTC,12
20995944,2024-10-19 00:10:35.000000 UTC,2024-10-19 00:10:23.000000 UTC,12
20995945,2024-10-19 00:10:47.000000 UTC,2024-10-19 00:10:35.000000 UTC,12
20995946,2024-10-19 00:10:59.000000 UTC,2024-10-19 00:10:47.000000 UTC,12
20995947,2024-10-19 00:11:11.000000 UTC,2024-10-19 00:10:59.000000 UTC,12
20995948,2024-10-19 00:11:23.000000 UTC,2024-10-19 00:11:11.000000 UTC,12
20995949,2024-10-19 00:11:35.000000 UTC,2024-10-19 00:11:23.000000 UTC,12
20995950,2024-10-19 00:11:47.000000 UTC,2024-10-19 00:11:35.000000 UTC,12
20995951,2024-10-19 00:11:59.000000 UTC,2024-10-19 00:11:47.000000 UTC,12
20995952,2024-10-19 00:12:11.000000 UTC,2024-10-19 00:11:59.000000 UTC,12
20995953,2024-10-19 00:12:23.000000 UTC,2024-10-19 00:12:11.000000 UTC,12
20995954,2024-10-19 00:12:35.000000 UTC,2024-10-19 00:12:23.000000 UTC,12
20995955,2024-10-19 00:12:47.000000 UTC,2024-10-19 00:12:35.000000 UTC,12
20995956,2024-10-19 00:12:59.000000 UTC,2024-10-19 00:12:47.000000 UTC,12
20995957,2024-10-19 00:13:11.000000 UTC,2024-10-19 00:12:59.000000 UTC,12
20995958,2024-10-19 00:13:23.000000 UTC,2024-10-19 00:13:11.000000 UTC,12
20995959,2024-10-19 00:13:35.000000 UTC,2024-10-19 00:13:23.000000 UTC,12
20995960,2024-10-19 00:13:47.000000 UTC,2024-10-19 00:13:35.000000 UTC,12
20995961,2024-10-19 00:13:59.000000 UTC,2024-10-19 00:13:47.000000 UTC,12
20995962,2024-10-19 00:14:11.000000 UTC,2024-10-19 00:13:59.000000 UTC,12
20995963,2024-10-19 00:14:23.000000 UTC,2024-10-19 00:14:11.000000 UTC,12
20995964,2024-10-19 00:14:35.000000 UTC,2024-10-19 00:14:23.000000 UTC,12
20995965,2024-10-19 00:14:47.000000 UTC,2024-10-19 00:14:35.000000 UTC,12
20995966,2024-10-19 00:14:59.000000 UTC,2024-10-19 00:14:47.000000 UTC,12
20995967,2024-10-19 00:15:11.000000 UTC,2024-10-19 00:14:59.000000 UTC,12
20995968,2024-10-19 00:15:23.000000 UTC,2024-10-19 00:15:11.000000 UTC,12
20995969,2024-10-19 00:15:35.000000 UTC,2024-10-19 00:15:23.000000 UTC,12
20995970,2024-10-19 00:15:47.000000 UTC,2024-10-19 00:15:35.000000 UTC,12
20995971,2024-10-19 00:15:59.000000 UTC,2024-10-19 00:15:47.000000 UTC,12
20995972,2024-10-19 00:16:11.000000 UTC,2024-10-19 00:15:59.000000 UTC,12
20995973,2024-10-19 00:16:23.000000 UTC,2024-10-19 00:16:11.000000 UTC,12
20995974,2024-10-19 00:16:35.000000 UTC,2024-10-19 00:16:23.000000 UTC,12
20995975,2024-10-19 00:16:47.000000 UTC,2024-10-19 00:16:35.000000 UTC,12
20995976,2024-10-19 00:16:59.000000 UTC,2024-10-19 00:16:47.000000 UTC,12
20995977,2024-10-19 00:17:11.000000 UTC,2024-10-19 00:16:59.000000 UTC,12
20995978,2024-10-19 00:17:23.000000 UTC,2024-10-19 00:17:11.000000 UTC,12
20995979,2024-10-19 00:17:35.000000 UTC,2024-10-19 00:17:23.000000 UTC,12
20995980,2024-10-19 00:17:47.000000 UTC,2024-10-19 00:17:35.000000 UTC,12
20995981,2024-10-19 00:17:59.000000 UTC,2024-10-19 00:17:47.000000 UTC,12
20995982,2024-10-19 00:18:11.000000 UTC,2024-10-19 00:17:59.000000 UTC,12
20995983,2024-10-19 00:18:23.000000 UTC,2024-10-19 00:18:11.000000 UTC,12
20995984,2024-10-19 00:18:35.000000 UTC,2024-10-19 00:18:23.000000 UTC,12
20995985,2024-10-19 00:18:47.000000 UTC,2024-10-19 00:18:35.000000 UTC,12
20995986,2024-10-19 00:18:59.000000 UTC,2024-10-19 00:18:47.000000 UTC,12
20995987,2024-10-19 00:19:11.000000 UTC,2024-10-19 00:18:59.000000 UTC,12
20995988,2024-10-19 00:19:23.000000 UTC,2024-10-19 00:19:11.000000 UTC,12
20995989,2024-10-19 00:19:35.000000 UTC,2024-10-19 00:19:23.000000 UTC,12
20995990,2024-10-19 00:19:47.000000 UTC,2024-10-19 00:19:35.000000 UTC,12
20995991,2024-10-19 00:19:59.000000 UTC,2024-10-19 00:19:47.000000 UTC,12
20995992,2024-10-19 00:20:11.000000 UTC,2024-10-19 00:19:59.000000 UTC,12